Epoch: 581/610, Batch: 14/35, Loss: 3.147264, img_l1_loss: 0.611015, img_pt_c_loss: 0.196578, svg_total_loss: 1.153229, svg_cmd_loss: 0.060265, svg_args_loss: 0.987216, svg_smooth_loss: 0.090975, svg_aux_loss: 0.014772, lr: 0.000182, Step: 20350
Epoch: 582/610, Batch: 29/35, Loss: 3.069593, img_l1_loss: 0.609771, img_pt_c_loss: 0.199122, svg_total_loss: 1.128002, svg_cmd_loss: 0.061991, svg_args_loss: 0.934858, svg_smooth_loss: 0.123547, svg_aux_loss: 0.007606, lr: 0.000182, Step: 20400
Epoch: 584/610, Batch: 9/35, Loss: 3.024011, img_l1_loss: 0.532236, img_pt_c_loss: 0.202227, svg_total_loss: 1.143252, svg_cmd_loss: 0.059025, svg_args_loss: 0.949444, svg_smooth_loss: 0.125721, svg_aux_loss: 0.009061, lr: 0.000181, Step: 20450
Epoch: 585/610, Batch: 24/35, Loss: 2.861474, img_l1_loss: 0.404672, img_pt_c_loss: 0.153859, svg_total_loss: 1.137671, svg_cmd_loss: 0.076397, svg_args_loss: 0.937676, svg_smooth_loss: 0.116062, svg_aux_loss: 0.007536, lr: 0.000180, Step: 20500
Epoch: 587/610, Batch: 4/35, Loss: 2.669134, img_l1_loss: 0.362035, img_pt_c_loss: 0.154720, svg_total_loss: 1.073442, svg_cmd_loss: 0.044681, svg_args_loss: 0.902998, svg_smooth_loss: 0.118233, svg_aux_loss: 0.007530, lr: 0.000179, Step: 20550
Epoch: 588/610, Batch: 19/35, Loss: 2.391737, img_l1_loss: 0.337462, img_pt_c_loss: 0.154943, svg_total_loss: 0.965295, svg_cmd_loss: 0.039928, svg_args_loss: 0.799430, svg_smooth_loss: 0.117446, svg_aux_loss: 0.008490, lr: 0.000178, Step: 20600
Epoch: 589/610, Batch: 34/35, Loss: 2.219948, img_l1_loss: 0.249484, img_pt_c_loss: 0.130386, svg_total_loss: 0.937032, svg_cmd_loss: 0.059799, svg_args_loss: 0.764207, svg_smooth_loss: 0.107407, svg_aux_loss: 0.005618, lr: 0.000178, Step: 20650
Epoch: 591/610, Batch: 14/35, Loss: 2.313553, img_l1_loss: 0.238095, img_pt_c_loss: 0.105864, svg_total_loss: 0.994834, svg_cmd_loss: 0.047171, svg_args_loss: 0.830545, svg_smooth_loss: 0.115917, svg_aux_loss: 0.001201, lr: 0.000177, Step: 20700
Epoch: 592/610, Batch: 29/35, Loss: 2.354383, img_l1_loss: 0.233449, img_pt_c_loss: 0.112825, svg_total_loss: 1.007739, svg_cmd_loss: 0.068847, svg_args_loss: 0.795120, svg_smooth_loss: 0.128680, svg_aux_loss: 0.015091, lr: 0.000176, Step: 20750
Epoch: 594/610, Batch: 9/35, Loss: 2.424501, img_l1_loss: 0.256087, img_pt_c_loss: 0.102748, svg_total_loss: 1.032008, svg_cmd_loss: 0.052400, svg_args_loss: 0.861838, svg_smooth_loss: 0.114440, svg_aux_loss: 0.003330, lr: 0.000175, Step: 20800
Epoch: 595/610, Batch: 24/35, Loss: 2.004700, img_l1_loss: 0.204743, img_pt_c_loss: 0.084830, svg_total_loss: 0.860765, svg_cmd_loss: 0.040158, svg_args_loss: 0.712710, svg_smooth_loss: 0.101891, svg_aux_loss: 0.006005, lr: 0.000175, Step: 20850
Epoch: 597/610, Batch: 4/35, Loss: 2.181799, img_l1_loss: 0.201063, img_pt_c_loss: 0.086363, svg_total_loss: 0.973137, svg_cmd_loss: 0.042326, svg_args_loss: 0.795729, svg_smooth_loss: 0.129279, svg_aux_loss: 0.005803, lr: 0.000174, Step: 20900
Epoch: 598/610, Batch: 19/35, Loss: 2.234280, img_l1_loss: 0.204898, img_pt_c_loss: 0.085271, svg_total_loss: 0.976786, svg_cmd_loss: 0.069034, svg_args_loss: 0.793678, svg_smooth_loss: 0.109098, svg_aux_loss: 0.004976, lr: 0.000173, Step: 20950
Epoch: 599/610, Batch: 34/35, Loss: 2.226222, img_l1_loss: 0.199204, img_pt_c_loss: 0.077727, svg_total_loss: 0.976748, svg_cmd_loss: 0.050205, svg_args_loss: 0.794863, svg_smooth_loss: 0.124370, svg_aux_loss: 0.007311, lr: 0.000173, Step: 21000
Epoch: 601/610, Batch: 14/35, Loss: 1.776878, img_l1_loss: 0.180536, img_pt_c_loss: 0.074357, svg_total_loss: 0.780696, svg_cmd_loss: 0.028239, svg_args_loss: 0.659314, svg_smooth_loss: 0.090148, svg_aux_loss: 0.002995, lr: 0.000172, Step: 21050
Epoch: 602/610, Batch: 29/35, Loss: 1.837272, img_l1_loss: 0.163933, img_pt_c_loss: 0.069174, svg_total_loss: 0.808672, svg_cmd_loss: 0.024656, svg_args_loss: 0.695160, svg_smooth_loss: 0.087963, svg_aux_loss: 0.000894, lr: 0.000171, Step: 21100
Epoch: 604/610, Batch: 9/35, Loss: 1.863598, img_l1_loss: 0.152381, img_pt_c_loss: 0.074150, svg_total_loss: 0.833382, svg_cmd_loss: 0.038301, svg_args_loss: 0.693678, svg_smooth_loss: 0.098110, svg_aux_loss: 0.003292, lr: 0.000170, Step: 21150
Epoch: 605/610, Batch: 24/35, Loss: 1.709309, img_l1_loss: 0.144119, img_pt_c_loss: 0.062771, svg_total_loss: 0.776233, svg_cmd_loss: 0.047509, svg_args_loss: 0.617473, svg_smooth_loss: 0.110155, svg_aux_loss: 0.001095, lr: 0.000170, Step: 21200
Epoch: 607/610, Batch: 4/35, Loss: 1.772555, img_l1_loss: 0.151677, img_pt_c_loss: 0.067210, svg_total_loss: 0.798554, svg_cmd_loss: 0.026832, svg_args_loss: 0.662367, svg_smooth_loss: 0.107890, svg_aux_loss: 0.001464, lr: 0.000169, Step: 21250
Epoch: 608/610, Batch: 19/35, Loss: 1.890169, img_l1_loss: 0.156482, img_pt_c_loss: 0.071779, svg_total_loss: 0.864864, svg_cmd_loss: 0.047682, svg_args_loss: 0.681128, svg_smooth_loss: 0.127950, svg_aux_loss: 0.008104, lr: 0.000168, Step: 21300
Epoch: 609/610, Batch: 34/35, Loss: 1.763458, img_l1_loss: 0.138580, img_pt_c_loss: 0.066905, svg_total_loss: 0.806502, svg_cmd_loss: 0.058826, svg_args_loss: 0.639103, svg_smooth_loss: 0.105511, svg_aux_loss: 0.003063, lr: 0.000168, Step: 21350
